datum;srazka;zavineni;alkohol;nasledek;prilba;pohlavi
2013/10/16 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰;lehké zranění;ano;muž
2014/06/14 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ne;muž
2014/08/13 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2014/08/29 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2015/02/02 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2015/04/15 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;bez zraněn;ne;muž
2015/04/15 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;žena
2015/07/16 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2016/06/08 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ano;muž
2016/06/12 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰;lehké zranění;ne;muž
2017/08/09 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2019/06/07 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2019/07/12 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2020/08/29 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰;lehké zranění;ne;muž
2010/05/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ne;žena
2010/07/23 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Nezjišťován;těžké zranění;ne;muž
2010/08/05 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2012/07/20 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2012/10/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/05/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;bez zraněn;ano;muž
2013/07/21 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;muž
2013/07/21 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;bez zraněn;ne;muž
2014/06/16 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2014/07/07 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;bez zraněn;ano;muž
2014/08/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2015/04/10 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2015/05/16 00:00:00+00;srážka s pevnou překážkou;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2016/04/29 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2016/09/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/03/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2017/05/14 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/05/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/06/20 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2017/06/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2017/06/25 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2017/07/18 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2017/10/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/11/11 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2017/12/22 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Ne;těžké zranění;ne;žena
2018/05/28 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2018/06/04 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2018/08/06 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2018/09/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2019/03/03 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/04/26 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ano;muž
2019/04/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2019/06/19 00:00:00+00;srážka s chodcem;chodcem;Ne;bez zraněn;ano;muž
2019/06/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;žena
2019/07/16 00:00:00+00;srážka s pevnou překážkou;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2019/09/26 00:00:00+00;srážka s pevnou překážkou;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2020/02/14 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2020/07/10 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2020/07/28 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2020/07/29 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2010/07/05 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2010/10/19 00:00:00+00;srážka s tramvají;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2011/06/12 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2011/09/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;bez zraněn;ano;chlapec (do 15 let)
2012/10/08 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2013/06/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2013/07/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2014/06/27 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Nezjišťován;lehké zranění;ne;muž
2014/09/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/09/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2016/05/21 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2016/07/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2017/02/09 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2017/11/11 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰;lehké zranění;ne;muž
2018/05/01 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Nezjišťován;těžké zranění;ano;muž
2018/05/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2018/05/27 00:00:00+00;srážka s pevnou překážkou;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2018/07/13 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2018/07/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2018/07/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2018/08/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Pod vlivem drog;těžké zranění;ano;muž
2019/02/19 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2019/05/24 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2019/08/09 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;chlapec (do 15 let)
2019/08/28 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ne;muž
2019/09/25 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2020/01/15 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;jiné zaviněn;Nezjišťován;lehké zranění;ne;muž
2020/03/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2020/04/14 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2020/08/16 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2010/07/08 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2010/08/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;muž
2010/08/27 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ne;muž
2010/11/24 00:00:00+00;jiný druh nehody;technickou závadou vozidla;Nezjišťován;lehké zranění;ano;muž
2011/08/05 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2011/09/21 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/07/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2012/07/19 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/07/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2012/07/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2013/05/19 00:00:00+00;srážka s pevnou překážkou;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2013/08/07 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2013/08/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;muž
2013/10/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2014/04/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ne;žena
2014/06/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;chlapec (do 15 let)
2014/06/25 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2014/07/10 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2014/08/22 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ano;dívka (do 15 let)
2015/06/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;bez zraněn;ano;muž
2015/06/25 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ano;muž
2015/07/02 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2015/07/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2015/07/15 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2015/08/22 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2015/08/24 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;chlapec (do 15 let)
2016/06/14 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2017/01/11 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ano;muž
2017/01/18 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;žena
2017/05/12 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2017/09/07 00:00:00+00;srážka s chodcem;chodcem;Ne;těžké zranění;ano;žena
2017/09/07 00:00:00+00;srážka s chodcem;chodcem;Ne;bez zraněn;ano;dívka (do 15 let)
2017/09/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2018/07/05 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi do 0,24 ‰;těžké zranění;ano;muž
2018/08/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2019/10/13 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2020/01/21 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2020/04/27 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2020/05/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2020/06/23 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2020/07/01 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ano;muž
2020/09/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2020/11/03 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2020/11/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2010/05/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2010/08/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2010/11/01 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2011/04/14 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem motorového vozidla;Nezjišťován;bez zraněn;ne;muž
2011/07/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;těžké zranění;ne;muž
2011/09/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/04/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2012/05/20 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2012/06/25 00:00:00+00;jiný druh nehody;jiným účastníkem silničního provozu;Ne;lehké zranění;ne;muž
2012/08/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;chlapec (do 15 let)
2012/09/26 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2012/11/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2013/04/20 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;žena
2013/05/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2013/07/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ano, obsah alkoholu v krvi od 0,5‰ do 0,8‰;bez zraněn;ano;muž
2013/07/25 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;muž
2013/07/25 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Nezjišťován;bez zraněn;ano;muž
2013/08/19 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;chlapec (do 15 let)
2013/12/13 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2014/03/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2014/07/17 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2014/09/04 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2015/03/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ne;muž
2015/05/31 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2015/06/01 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2015/06/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2015/06/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2015/09/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2016/01/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2016/02/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2016/03/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2016/03/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
