kvalita,plocha,rok_stavby,rok_prodeje,cena
7,158,2003,2008,5.21
6,117,1976,2007,4.54
7,165,2001,2008,5.59
7,159,1915,2006,3.5
8,204,2000,2008,6.25
5,126,1993,2009,3.58
8,157,2004,2007,7.68
7,194,1973,2009,5.0
7,164,1931,2008,3.25
5,100,1939,2008,2.95
5,96,1965,2008,3.24
9,215,2005,2006,8.62
5,84,1962,2008,3.6
7,138,2006,2007,6.99
6,116,1960,2008,3.92
7,79,1929,2007,3.3
6,93,1970,2010,3.72
4,120,1967,2006,2.25
5,103,2004,2008,3.98
5,124,1958,2009,3.48
8,220,2005,2006,8.13
7,102,1930,2007,3.48
8,166,2002,2008,5.75
5,98,1976,2007,3.25
5,98,1968,2010,3.85
8,148,2007,2009,6.41
5,83,1951,2010,3.37
8,158,2007,2010,7.65
5,148,1957,2006,5.19
4,48,1927,2008,1.71
4,122,1920,2008,1.0
5,114,1966,2008,3.73
8,114,2007,2008,4.5
5,157,1959,2010,4.14
9,145,2005,2007,6.94
8,227,2004,2006,7.72
5,101,1994,2009,3.62
5,120,1954,2009,3.82
5,98,1953,2010,2.72
4,107,1955,2008,2.05
6,123,1965,2006,4.0
5,123,1959,2007,4.25
5,82,1983,2007,3.6
5,87,1975,2008,3.26
5,106,1959,2006,3.52
9,162,2005,2010,8.0
7,199,2003,2009,5.99
8,153,2006,2007,6.24
4,134,1920,2009,2.82
5,88,1966,2007,3.18
6,136,1997,2007,4.42
6,109,1934,2006,2.86
5,75,1963,2010,2.75
9,171,1981,2006,9.62
5,126,1955,2007,3.25
6,132,1964,2008,4.51
8,161,1999,2009,4.31
7,159,2004,2006,4.91
10,273,2006,2006,10.97
5,72,1972,2008,3.12
6,107,2004,2006,3.95
5,103,1920,2007,2.52
8,127,2006,2007,5.06
7,158,1921,2010,3.5
7,188,1997,2009,5.49
8,229,2004,2007,7.92
7,205,1970,2010,4.5
7,137,2003,2007,5.65
4,69,1945,2010,2.0
7,212,1953,2006,5.62
7,206,1973,2007,6.1
4,78,1982,2007,3.24
7,159,1998,2009,4.62
5,100,1954,2010,3.62
3,149,1915,2010,2.68
4,91,1973,2009,2.28
4,88,1956,2008,3.39
5,119,1948,2008,3.18
4,164,1968,2010,3.41
5,114,1910,2009,2.75
6,198,1968,2009,4.84
6,124,1998,2006,3.84
8,145,2007,2008,6.12
5,98,1960,2007,3.16
7,136,1995,2009,4.21
8,224,1991,2006,6.5
6,144,2005,2009,4.35
6,113,2009,2009,4.11
3,141,1915,2009,2.12
4,91,1994,2007,3.09
4,96,1950,2006,2.75
5,114,1961,2006,2.46
5,89,1921,2009,4.09
6,212,1910,2007,3.35
6,165,1997,2007,5.12
6,136,1993,2009,4.62
7,147,1999,2006,5.35
4,89,1965,2007,2.37
5,77,1920,2010,2.08
4,113,1959,2010,3.22
6,149,1977,2010,5.12
6,160,1985,2010,4.45
5,142,1979,2009,2.97
7,113,2009,2010,4.97
7,168,1931,2007,4.24
8,185,2003,2008,6.25
4,97,1885,2007,2.5
5,73,1948,2008,2.88
5,140,1919,2007,2.88
6,171,1977,2010,4.75
6,172,1954,2006,3.42
7,132,2000,2010,4.5
7,250,2007,2007,9.6
6,209,1953,2007,5.42
6,215,1945,2007,6.49
6,135,1999,2007,4.4
5,101,1962,2009,3.48
5,104,2006,2007,3.88
7,299,1990,2010,8.0
6,135,2005,2006,4.1
6,91,1969,2006,4.5
4,104,1939,2007,2.5
6,100,1958,2008,3.4
6,111,1993,2008,3.85
6,147,1979,2009,4.53
6,70,1935,2006,2.11
6,89,1976,2007,3.2
5,78,1930,2007,2.17
6,125,1966,2006,3.88
5,97,1958,2006,3.75
7,200,1966,2006,5.65
6,190,2000,2009,6.1
5,123,1959,2007,3.77
8,120,2001,2009,5.5
5,159,1968,2006,4.5
7,156,1970,2008,4.35
5,112,1967,2007,3.58
7,181,1988,2006,4.28
8,172,1999,2008,5.75
6,163,1997,2009,5.79
4,80,1971,2010,2.88
7,161,2005,2006,6.5
5,128,1952,2010,4.15
7,139,1999,2009,5.1
5,160,1963,2006,3.12
6,158,2004,2006,3.25
5,81,1931,2009,2.62
7,189,2001,2010,5.56
7,100,2004,2008,3.52
5,124,1936,2006,2.88
5,90,1975,2007,3.05
8,158,2007,2008,9.31
6,185,1971,2006,4.75
6,116,1960,2008,5.88
6,111,1923,2006,3.12
6,101,1924,2008,1.98
5,96,1950,2006,2.74
8,182,2009,2010,6.74
7,180,2004,2010,6.37
7,228,2005,2006,8.0
6,114,1984,2008,4.06
9,247,2003,2008,10.31
7,143,2005,2010,5.5
4,81,1956,2007,2.58
6,150,1926,2007,3.8
5,125,1940,2008,3.19
5,173,1955,2009,4.75
8,200,2007,2007,8.14
7,159,2004,2007,4.59
8,158,1981,2006,5.7
5,128,1941,2007,3.21
6,153,1960,2010,5.38
7,164,1987,2006,5.98
6,126,1961,2008,4.08
6,153,1986,2008,4.6
6,200,1950,2007,6.08
6,191,1988,2007,5.28
5,178,1958,2006,4.31
9,207,2008,2009,12.55
5,89,1923,2007,2.5
6,141,2000,2007,4.42
7,167,1920,2006,5.0
5,124,1957,2007,3.0
7,193,2003,2008,5.0
5,116,1908,2006,3.18
10,335,1892,2006,11.88
7,113,1990,2009,4.32
5,153,1916,2009,3.38
5,113,1979,2009,3.83
8,147,2001,2008,7.15
